name,time,tweet
esgarchitect,Fri Sep 07 16:17:46 +0000 2018,"New season of #ESG Notes kicks off today. Today, ESG Note S2E1:  Nike Blows Our Minds, Inequality Is Hot, Exit Theranos, Ocean Bonds, @GuyCallendar. #investment #strategy #sustainability #impinv #susty #SDGs #JustDoIt #Theranos #TheLongSwim #FridayReads https://t.co/TcVVrBsLrn"
DMR_MI,Fri Sep 07 16:17:43 +0000 2018,"Invest in #Mojo50?

#JustDoIt 

@DocThompsonShow 
@realBradStaggs 
@foodbizpro"
MrEarth_Bound,Fri Sep 07 16:17:07 +0000 2018,"If you don’t express to me that you wish to be buried after your death, best believe you’re getting cremated and launch out of a shoulder fired rocket launcher. #LoveIsLove #Justdoit #ShowerThoughts"
gorjess_36,Fri Sep 07 16:17:06 +0000 2018,@Nike  you gotta get these made! #JustDoIt https://t.co/LiDtQx0Xt2
s_baidya2,Fri Sep 07 16:16:58 +0000 2018,Don’t ask if your dreams are crazy. Ask if they’re crazy enough.!!#justdoit
OlodoVisuals,Fri Sep 07 16:16:53 +0000 2018,"Create Your Own Nike Just Do It Colin Kaepernick Meme With This Free Template: https://t.co/h9SZP6dUKB

#Nike #ColinKaepernick #JustDoIt https://t.co/rIqRybre1A"
MesfinBeshir,Fri Sep 07 16:16:46 +0000 2018,#Justdoit Vote our &amp; oust McGovern!
tmtwiz62,Fri Sep 07 16:16:40 +0000 2018,This is why Colin kneels.  We all should kneel. You can't even ride in a car with your grandmother looking as timid as Urkel without getting profiled by police as a criminal. You can hear the despair in his voice. #ImwithKap. #Justdoit https://t.co/pFxaXOE9UM
KIKI_SRQUS,Fri Sep 07 16:15:43 +0000 2018,Sounds like a plan! #JustDoIt #FirstAmendment https://t.co/ULAA6K0Tgu
NBJContheMove,Fri Sep 07 16:15:28 +0000 2018,"#JustDoIt: Nike took a knee for Kaepernick, outrage ensues. Were you surprised? https://t.co/e7ab3oVkHX https://t.co/yhFHvgNSog"
ellenmay65,Fri Sep 07 16:15:14 +0000 2018,"@realDonaldTrump Just Do It!!
#trumpTrash
 #JustDoIt 
#Nike
#NFL
#NikeKap https://t.co/GQ7YwcVhur"
NotCharles,Fri Sep 07 16:15:12 +0000 2018,just doin it on a friyay @nike #believeinsomething #colinkaepernick #justdoit #friyay @ Nike NYHQ https://t.co/v0bmxyq8RI
transformnursin,Fri Sep 07 16:15:08 +0000 2018,"Check Me Out! September 10th on Facebook Live 8 am sharp.

""#justdoit""

See https://t.co/cKpdrrRzTJ for my freebie

""Four Easy Techniques to Keep You Calm as a Nurse""

Thanks! https://t.co/iNlExWzYav"
